ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
159652,"Abditibacterium utsteinense","DSM 105287, R-68213, LMG 29911","Top surface sample consisting of weathered granite parent material, elevation 1382 m",Antarctica,"Australia and Oceania",#Climate,#Cold,#Alpine
159652,,,,,,#Environmental,#Terrestrial,#Geologic
159837,"Abyssibacter profundi","KCTC 52933, MCCC 1K03450, OUC007","the seawater at a depth of 1000 m in the Mariana Trench at station MT1",Philippines,Asia,#Environmental,#Aquatic,#Marine
132558,"Abyssicoccus albus","DSM 29158, CCTCC AB 2014213","deep sea sediment","Indian Ocean",Asia,#Environmental,#Aquatic,#Marine
132558,,,,,,#Environmental,#Aquatic,#Sediment
132478,"Abyssivirga alkaniphila","DSM 29592, JCM 30920","methane-producing, hydro- carbon-degrading microbial consortium enriched from a black smoker at the Loki's Castle vent field, Arctic Mid-Ocean Ridge","Arctic Ocean",Europe,#Environmental,#Aquatic,"#Hydrothermal vent"
132478,,,,,,#Environmental,#Biofilm,
2838,"Acetivibrio alkalicellulosi","DSM 17461, VKM B-2349","deposits of soda lake",Russia,Asia,#Engineered,#Waste,"#Solid waste"
2838,,,,,,#Environmental,#Aquatic,"#Lake (large)"
2838,,,,,,#Condition,#Alkaline,
2853,"Acetivibrio clariflavus","DSM 19732, NBRC 101661, EBR 45","methanogenic sludge of a cellulose-degrading bioreactor",Japan,Asia,#Engineered,#Biodegradation,
2853,,,,,,#Engineered,#Bioreactor,
2853,,,,,,#Environmental,#Aquatic,"#Mud (Sludge)"
2853,,,,,,#Condition,"#Anoxic (anaerobic)",
2827,"Acetivibrio straminisolvens","DSM 16021, IAM 15070","a bacterial community constructed from composting processes",Japan,Asia,#Engineered,#Biodegradation,#Composting
2827,,,,,,#Environmental,"#Microbial community",
22965,"Acetivibrio thermocellus","DSM 25991","hot spring soil sample",USA,"North America",#Environmental,#Aquatic,"#Thermal spring"
22965,,,,,,#Environmental,#Terrestrial,#Soil
22965,,,,,,#Condition,"#Thermophilic (>45°C)",
131392,"Acetoanaerobium pronyense","DSM 27512, JCM 19400","carbonaceous chimney of an alkaline hydrothermal field, 16.5 m below sea level",France,Europe,#Environmental,#Aquatic,"#Hydrothermal vent"
131392,,,,,,#Environmental,#Aquatic,"#Thermal spring"
131392,,,,,,#Condition,#Alkaline,
131392,,,,,,#Condition,"#Thermophilic (>45°C)",
2717,"Acetoanaerobium sticklandii","DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654","black mud",USA,"North America",#Environmental,#Terrestrial,"#Mud (Sludge)"
2,"Acetobacter aceti","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043","Beech-wood shavings of vinegar plant",,,#Engineered,"#Food production",
2,,,,,,#Environmental,"#Microbial community",
9,"Acetobacter lovaniensis","DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620",soil,Belgium,Europe,#Environmental,#Terrestrial,#Soil
19,"Acetobacter oeni","DSM 23926, CECT 5830, LMG 21952","spoiled red wine",Portugal,Europe,#Engineered,"#Food production",#Fermented
19,,,,,,#Environmental,"#Microbial community",
19,,,,,,#Engineered,"#Food production",#Beverage
5409,"Acetobacterium bakii","DSM 8239","anaerobic sediment, paper mill waste water polluted pond",Russia,Europe,#Engineered,#Waste,"#Industrial wastewater"
5409,,,,,,#Environmental,#Aquatic,"#Pond (small)"
5409,,,,,,#Environmental,#Aquatic,#Sediment
5409,,,,,,#Condition,"#Anoxic (anaerobic)",
5399,"Acetobacterium carbinolicum","DSM 2925, WoProp 1","freshwater mud",Germany,Europe,#Environmental,#Aquatic,#Freshwater
5399,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
24007,"Acetobacterium carbinolicum","DSM 16427, ATCC BAA 990","anoxic black sediment from the brackish part of a estuary",Denmark,Europe,#Environmental,#Aquatic,#Brackish
24007,,,,,,#Environmental,#Aquatic,#Estuary
24007,,,,,,#Environmental,#Aquatic,#Sediment
24007,,,,,,#Condition,"#Anoxic (anaerobic)",
5400,"Acetobacterium malicum","DSM 4132","ditch sediment",Germany,Europe,#Environmental,#Terrestrial,#Sediment
5407,"Acetobacterium paludosum","DSM 8237","bog sediment",Russia,Europe,#Environmental,#Aquatic,"#Wetland (Swamp)"
5407,,,,,,#Environmental,#Terrestrial,#Sediment
5403,"Acetobacterium sp.","DSM 2396",mud,Italy,Europe,#Environmental,#Terrestrial,"#Mud (Sludge)"
5411,"Acetobacterium tundrae","DSM 9173","tundra wetland soil",Russia,Europe,#Environmental,#Terrestrial,#Soil
5411,,,,,,#Environmental,#Terrestrial,#Tundra
5411,,,,,,#Environmental,#Terrestrial,"#Wetland (Swamp)"
