,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
https://bacdive.dsmz.de/strain/132558,"Abyssicoccus albus strain LIPI11-2-Ac043 16S ribosomal RNA gene, partial sequence",KT935587, ENA,1817405 tax ID,Abyssicoccus albus DSM 29158,GCA_003815035,scaffold, GenBank,1817405 tax ID,Abyssicoccus albus strain DSM 29158,1817405.3,wgs, PATRIC,1817405 tax ID,Abyssicoccus albus DSM 29158,2786546168,permanent, JGI IMG/M,1817405 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/132478,"Abyssivirga alkaniphila strain L81 16S ribosomal RNA gene, partial sequence",KP233895, ENA,1675854 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/2838,"Clostridium alkalicellum 16S ribosomal RNA gene, partial sequence",AY959944, ENA,320502 tax ID,Hungateiclostridium alkalicellulosi DSM 17461,GCA_008125075,scaffold, GenBank,320502 tax ID,Hungateiclostridium alkalicellulosi strain DSM 17461,320502.3,wgs, PATRIC,320502 tax ID,"Hungateiclostridium alkalicellulosi Z-7026, DSM 17461",2509887034,permanent, JGI IMG/M,320502 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/2853,Clostridium clariflavum gene for 16S rRNA,AB186359, ENA,720554 tax ID,Hungateiclostridium clariflavum DSM 19732,GCA_000237085,complete, GenBank,720554 tax ID,Hungateiclostridium clariflavum 4-2A,GCA_007827345,contig, GenBank,288965 tax ID,Clostridium clariflavum DSM 19732,720554.3,complete, PATRIC,720554 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/2827,"Clostridium straminisolvens gene for 16S rRNA, partial sequence",AB125279, ENA,253314 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/22965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/131392,"Acetoanaerobium pronyense strain ST07-YE 16S ribosomal RNA gene, partial sequence",KJ174056, ENA,1482736 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/2717,Acetoanaerobium sticklandii DSM 519,GCA_000196455,complete, GenBank,1511 tax ID,Clostridium sticklandii DSM 519,499177.3,complete, PATRIC,499177 tax ID,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/2,"Acetobacter aceti partial 16S-23S ITS, strain CCM 3620",AJ621845, ENA,435 tax ID,"Acetobacter aceti gene for 16S rRNA, partial sequence, strain: JCM 7641",AB665077, ENA,887700 tax ID,Acetobacter aceti gene for 16S ribosomal RNA,D30768, ENA,887700 tax ID,"Acetobacter aceti strain LMG 1261 16S ribosomal RNA gene, partial sequence",JF793947, ENA,435 tax ID,"Acetobacter aceti strain LMG 1504 16S ribosomal RNA gene, partial sequence",JF793949, ENA,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/9,"Acetobacter pasteurianus 16S rRNA gene, strain CCM 3606",FM178869, ENA,438 tax ID,"Acetobacter lovaniensis gene for 16S rRNA, partial sequence, strain: JCM 17121",AB665079, ENA,104100 tax ID,"Acetobacter lovaniensis 16S rRNA gene, strain LMG 1617",AJ419837, ENA,104100 tax ID,"Acetobacter lovaniensis gene for 16S rRNA, partial sequence, strain: NBRC 13753",AB680507, ENA,104100 tax ID,"Acetobacter lovaniensis gene for 16S rRNA, partial sequence",AB032351, ENA,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/19,"Acetobacter oeni strain CECT 5830 16S ribosomal RNA gene, partial sequence",HQ398213, ENA,304077 tax ID,"Acetobacter oeni strain LMG 21952 16S ribosomal RNA gene, partial sequence",JF793961, ENA,304077 tax ID,"Acetobacter oeni strain B13 16S ribosomal RNA gene, complete sequence",AY829472, ENA,304077 tax ID,Acetobacter oeni NBRC 105207,GCA_007991395,contig, GenBank,304077 tax ID,Acetobacter oeni LMG 21952,GCA_011516825,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5409,A.bakii 16S rRNA gene,X96960, ENA,52689 tax ID,Acetobacterium bakii DSM 8239,GCA_001263355,scaffold, GenBank,52689 tax ID,Acetobacterium bakii DSM 8239,GCA_008086625,contig, GenBank,52689 tax ID,Acetobacterium bakii,GCA_900235925,scaffold, GenBank,52689 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5399,A.carbinolicum 16S rRNA gene,X96956, ENA,52690 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/24007,"Acetobacterium carbinolicum subsp. kysingense strain SyrA5 16S ribosomal RNA gene, partial sequence",AY744449, ENA,346376 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5400,A.malicum 16S rRNA gene,X96957, ENA,52692 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
