link,Last LPSN update,Domain,Phylum,Class,Order,Family,Genus,Species,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Ref 8,Ref 9,Ref 10
https://bacdive.dsmz.de/strain/132558,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Bacilli,Caryophanales,Staphylococcaceae,Abyssicoccus,Abyssicoccus albus,"('Ref.: #24347', 'growth', '28')",,,,,,,,,
https://bacdive.dsmz.de/strain/132478,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Abyssivirga,Abyssivirga alkaniphila,"('Ref.: #24267', 'growth', '37')","('Ref.: #43989', 'growth', '15-42')","('Ref.: #43989', 'optimum', '37')",,,,,,,
https://bacdive.dsmz.de/strain/2838,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio alkalicellulosi,"('Ref.: #7000', 'growth', '35')",,,,,,,,,
https://bacdive.dsmz.de/strain/2853,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio clariflavus,"('Ref.: #8129', 'growth', '55')","('Ref.: #25435', 'optimum', '55-60')","('Ref.: #25435', 'growth', '45-65')","('Ref.: #29002', 'growth', '45-65')","('Ref.: #29002', 'optimum', '57.5')",,,,,
https://bacdive.dsmz.de/strain/2827,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio straminisolvens,"('Ref.: #6145', 'growth', '50')","('Ref.: #23077', 'optimum', '50.0')",,,,,,,,
https://bacdive.dsmz.de/strain/22965,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio thermocellus,"('Ref.: #18805', 'growth', '60')",,,,,,,,,
https://bacdive.dsmz.de/strain/131392,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Acetoanaerobium,Acetoanaerobium pronyense,"('Ref.: #22619', 'growth', '35')",,,,,,,,,
https://bacdive.dsmz.de/strain/2717,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Acetoanaerobium,Acetoanaerobium sticklandii,"('Ref.: #263', 'growth', '35')",,,,,,,,,
https://bacdive.dsmz.de/strain/2,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti,"('Ref.: #1402', 'growth', '26')","('Ref.: #41703', 'growth', '30')","('Ref.: #46757', 'growth', '30')",,,,,,,
https://bacdive.dsmz.de/strain/9,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter lovaniensis,"('Ref.: #1703', 'growth', '28')",,,,,,,,,
https://bacdive.dsmz.de/strain/19,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter oeni,"('Ref.: #17309', 'growth', '25')","('Ref.: #23234', 'optimum', '28')","('Ref.: #37461', 'growth', '25')",,,,,,,
https://bacdive.dsmz.de/strain/5409,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium bakii,"('Ref.: #3216', 'growth', '20')",,,,,,,,,
https://bacdive.dsmz.de/strain/5399,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium carbinolicum,"('Ref.: #1251', 'growth', '30')",,,,,,,,,
https://bacdive.dsmz.de/strain/24007,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium carbinolicum,"('Ref.: #20231', 'growth', '30')",,,,,,,,,
https://bacdive.dsmz.de/strain/5400,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium malicum,"('Ref.: #1595', 'growth', '30')",,,,,,,,,
https://bacdive.dsmz.de/strain/5407,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium paludosum,"('Ref.: #3214', 'growth', '20')",,,,,,,,,
https://bacdive.dsmz.de/strain/5403,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium sp.,"('Ref.: #1074', 'growth', '30')",,,,,,,,,
https://bacdive.dsmz.de/strain/5411,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium tundrae,"('Ref.: #3504', 'growth', '20')",,,,,,,,,
https://bacdive.dsmz.de/strain/5402,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,"('Ref.: #478', 'growth', '30')",,,,,,,,,
https://bacdive.dsmz.de/strain/131580,23-11-2020 (DD-MM-YYYY),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides,Acetobacteroides hydrogenigenes,"('Ref.: #23376', 'growth', '37')",,,,,,,,,
https://bacdive.dsmz.de/strain/5978,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,"('Ref.: #2083', 'growth', '37')",,,,,,,,,
https://bacdive.dsmz.de/strain/17777,23-11-2020 (DD-MM-YYYY),Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,Acetomicrobium mobile,"('Ref.: #4960', 'growth', '55')","('Ref.: #43422', 'maximum', '55-60')","('Ref.: #43422', 'growth', '35-65')","('Ref.: #43698', 'growth', '35-65')","('Ref.: #43698', 'optimum', '55-60')",,,,,
https://bacdive.dsmz.de/strain/156535,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter anxifer,"('Ref.: #62849', 'growth', '37')",,,,,,,,,
https://bacdive.dsmz.de/strain/317,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,"('Ref.: #4510', 'growth', '30')",,,,,,,,,
https://bacdive.dsmz.de/strain/318,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,"('Ref.: #9090', 'growth', '30')",,,,,,,,,
