,link,Last LPSN update,Domain,Phylum,Class,Order,Family,Genus,Species,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Ref 8,Ref 9,Ref 10
25,https://bacdive.dsmz.de/strain/141589,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
38,https://bacdive.dsmz.de/strain/142779,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
101,https://bacdive.dsmz.de/strain/150386,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax defluvii,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
105,https://bacdive.dsmz.de/strain/142758,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax delafieldii,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
120,https://bacdive.dsmz.de/strain/150258,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
125,https://bacdive.dsmz.de/strain/143303,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax temperans,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
127,https://bacdive.dsmz.de/strain/151219,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax temperans,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
132,https://bacdive.dsmz.de/strain/146203,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
164,https://bacdive.dsmz.de/strain/142851,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
165,https://bacdive.dsmz.de/strain/145291,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
166,https://bacdive.dsmz.de/strain/152050,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
417,https://bacdive.dsmz.de/strain/146078,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas encheleia,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
418,https://bacdive.dsmz.de/strain/146079,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas encheleia,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
419,https://bacdive.dsmz.de/strain/146096,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas encheleia,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
420,https://bacdive.dsmz.de/strain/150766,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas encheleia,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
421,https://bacdive.dsmz.de/strain/146076,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
422,https://bacdive.dsmz.de/strain/146077,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
423,https://bacdive.dsmz.de/strain/146080,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
428,https://bacdive.dsmz.de/strain/141482,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
429,https://bacdive.dsmz.de/strain/144608,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
437,https://bacdive.dsmz.de/strain/142755,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas media,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
443,https://bacdive.dsmz.de/strain/144611,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sobria,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
446,https://bacdive.dsmz.de/strain/141227,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
447,https://bacdive.dsmz.de/strain/141420,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
448,https://bacdive.dsmz.de/strain/141421,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
450,https://bacdive.dsmz.de/strain/146088,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
486,https://bacdive.dsmz.de/strain/143154,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium radiobacter,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1009,https://bacdive.dsmz.de/strain/154782,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Bacilli,Caryophanales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1010,https://bacdive.dsmz.de/strain/154783,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Bacilli,Caryophanales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1011,https://bacdive.dsmz.de/strain/154784,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Bacilli,Caryophanales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1012,https://bacdive.dsmz.de/strain/154785,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Bacilli,Caryophanales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1013,https://bacdive.dsmz.de/strain/154786,23-11-2020 (DD-MM-YYYY),Bacteria,Firmicutes,Bacilli,Caryophanales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
