link,ph 1,ph2,ph3,ph4,ph5
https://bacdive.dsmz.de/strain/72,"('Ref.: #22959', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/73,"('Ref.: #22960', 'optimum', '7.0-7.5')","('Ref.: #22960', 'growth', '6.5-8.0')",,,
https://bacdive.dsmz.de/strain/76,"('Ref.: #22961', 'optimum', '6.0-7.0')","('Ref.: #22961', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/81,"('Ref.: #22964', 'optimum', '4.5-5.7')","('Ref.: #22964', 'growth', '3.0-7.5')",,,
https://bacdive.dsmz.de/strain/105,"('Ref.: #22967', 'optimum', '7.4-7.7')","('Ref.: #22967', 'growth', '6.7-8.5')",,,
https://bacdive.dsmz.de/strain/135,"('Ref.: #22970', 'growth', '4.5-7.5')",,,,
https://bacdive.dsmz.de/strain/139,"('Ref.: #22971', 'growth', '3.0-7.5')",,,,
https://bacdive.dsmz.de/strain/136,"('Ref.: #22971', 'growth', '3.0-7.5')",,,,
https://bacdive.dsmz.de/strain/1343,"('Ref.: #22983', 'growth', '6.0-9.5')",,,,
https://bacdive.dsmz.de/strain/1342,"('Ref.: #22983', 'growth', '6.0-9.5')",,,,
https://bacdive.dsmz.de/strain/1344,"('Ref.: #22984', 'optimum', '7.5-8.5')","('Ref.: #22984', 'growth', '6.0-9.6')",,,
https://bacdive.dsmz.de/strain/1349,"('Ref.: #22985', 'optimum', '7.5-8.0')",,,,
https://bacdive.dsmz.de/strain/1350,"('Ref.: #22985', 'optimum', '7.5-8.0')",,,,
https://bacdive.dsmz.de/strain/1346,"('Ref.: #22986', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1352,"('Ref.: #22989', 'growth', '5.5-9.0')",,,,
https://bacdive.dsmz.de/strain/1354,"('Ref.: #22991', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/130201,"('Ref.: #22994', 'growth', '7.0-9.0')",,,,
https://bacdive.dsmz.de/strain/1359,"('Ref.: #22996', 'optimum', '6.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1360,"('Ref.: #22997', 'optimum', '7.0-7.5')","('Ref.: #22997', 'growth', '6.0-8.5')",,,
https://bacdive.dsmz.de/strain/1361,"('Ref.: #22998', 'growth', '7.0-9.5')",,,,
https://bacdive.dsmz.de/strain/1364,"('Ref.: #23001', 'optimum', '7.0-7.5')","('Ref.: #23001', 'growth', '6.0-9.0')",,,
https://bacdive.dsmz.de/strain/1365,"('Ref.: #23002', 'optimum', '6.5-7.0')",,,,
https://bacdive.dsmz.de/strain/1366,"('Ref.: #23003', 'growth', '7.0-9.2')",,,,
